food_id,Category,food_name,calories,protein,carbs,fat,fiber,sugar,sodium
11602,YAM,"YAM,CKD,BLD,DRND,OR BKD,WO/SALT",116,1.49,27.48,0.14,3.900000095,0.49000001,8
11603,YAMBEAN (JICAMA),"YAMBEAN (JICAMA),RAW",38,0.72,8.82,0.09,4.900000095,1.799999952,4
11604,YAMBEAN (JICAMA),"YAMBEAN (JICAMA),CKD,BLD,DRND,WO/SALT",38,0.72,8.82,0.09,0.0,0.0,4
11605,BEETS,"BEETS,HARVARD,CND,SOL&LIQUIDS",73,0.84,18.18,0.06,2.5,0.0,162
11609,BEETS,"BEETS,PICKLED,CND,SOL&LIQUIDS",65,0.8,16.28,0.08,2.599999905,0.0,264
11613,BORAGE,"BORAGE,RAW",21,1.8,3.06,0.7,0.0,0.0,80
11614,BORAGE,"BORAGE,CKD,BLD,DRND,WO/SALT",25,2.09,3.55,0.81,0.0,0.0,88
11615,CHIVES,"CHIVES,FREEZE-DRIED",311,21.2,64.29,3.5,26.20000076,0.0,70
11616,DOCK,"DOCK,RAW",22,2.0,3.2,0.7,2.900000095,0.0,4
11617,DOCK,"DOCK,CKD,BLD,DRND,WO/SALT",20,1.83,2.93,0.64,2.599999905,0.0,3
11618,EPPAW,"EPPAW,RAW",150,4.6,31.68,1.8,0.0,0.0,12
11620,HORSERADISH-TREE,"HORSERADISH-TREE,PODS,RAW",37,2.1,8.53,0.2,3.200000048,0.0,42
11621,HORSERADISH-TREE,"HORSERADISH-TREE,PODS,CKD,BLD,DRND,WO/SALT",36,2.09,8.18,0.19,4.199999809,0.0,43
11622,KALE,"KALE,SCOTCH,RAW",42,2.8,8.32,0.6,1.700000048,0.0,70
11623,KALE,"KALE,SCOTCH,CKD,BLD,DRND,WO/SALT",28,1.9,5.63,0.41,1.200000048,0.0,45
11624,LEEKS,"LEEKS,(BULB&LOWER-LEAF PORTION),FREEZE-DRIED",321,15.2,74.65,2.1,10.39999962,0.0,35
11625,PARSLEY,"PARSLEY,FREEZE-DRIED",271,31.3,42.38,5.2,32.70000076,0.0,391
11626,BEANS,"BEANS,MUNG,MATURE SEEDS,SPROUTED,CND,DRND SOL",12,1.4,2.14,0.06,0.800000012,1.340000033,140
11632,PEPPERS,"PEPPERS,JALAPENO,CND,SOL&LIQUIDS",27,0.92,4.74,0.94,2.599999905,2.140000105,1671
11634,PEPPERS,"PEPPERS,SWT,GRN,FREEZE-DRIED",314,17.9,68.7,3.0,21.29999924,38.47999954,193
11637,RADISHES,"RADISHES,WHITE ICICLE,RAW",14,1.1,2.63,0.1,1.399999976,0.0,16
11640,SHALLOTS,"SHALLOTS,FREEZE-DRIED",348,12.3,80.7,0.5,0.0,0.0,59
11641,SQUASH,"SQUASH,SMMR,ALL VAR,RAW",16,1.21,3.35,0.18,1.100000024,2.200000048,2
11642,SQUASH,"SQUASH,SMMR,ALL VAR,CKD,BLD,DRND,WO/SALT",20,0.91,4.31,0.31,1.399999976,2.589999914,1
11643,SQUASH,"SQUASH,WNTR,ALL VAR,RAW",34,0.95,8.59,0.13,1.5,2.200000048,4
11644,SQUASH,"SQUASH,WNTR,ALL VAR,CKD,BKD,WO/SALT",37,0.89,8.85,0.35,2.799999952,3.299999952,1
11645,SWEET POTATO,"SWEET POTATO,CND,SYRUP PK,SOL & LIQUIDS",89,0.98,20.93,0.2,2.5,15.39999962,44
11647,SWEET POTATO,"SWEET POTATO,CND,SYRUP PK,DRND SOL",108,1.28,25.36,0.32,3.0,5.739999771,39
11649,TOMATO PRODUCTS,"TOMATO PRODUCTS,CND,SAU,SPANISH STYLE",33,1.44,7.24,0.27,1.399999976,0.0,472
11653,BEANS,"BEANS,PINTO,MATURE SEEDS,SPROUTED,RAW",62,5.25,11.6,0.9,0.0,0.0,153
11654,BEANS,"BEANS,PINTO,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT",22,1.86,4.1,0.32,0.0,0.0,51
11655,CARROT JUICE,"CARROT JUICE,CANNED",40,0.95,9.28,0.15,0.800000012,3.910000086,29
11656,CORN PUDD,"CORN PUDD,HOME PREP",131,4.35,17.0,5.08,1.399999976,6.96999979,281
11657,POTATOES,"POTATOES,MSHD,HOME-PREPARED,WHL MILK ADDED",83,1.92,17.53,0.57,1.5,1.50999999,302
11658,No Category,SPINACH SOUFFLE,171,7.91,5.82,12.95,0.699999988,1.850000024,566
11659,SWEET POTATO,"SWEET POTATO,CKD,CANDIED,HOME-PREPARED",144,0.87,27.86,3.25,2.400000095,0.0,70
11660,TOMATOES,"TOMATOES,RED,RIPE,CKD,STWD",79,1.96,13.05,2.68,1.700000048,0.0,455
11663,SEAWEED,"SEAWEED,AGAR,DRIED",306,6.21,80.88,0.3,7.699999809,2.970000029,102
11666,SEAWEED,"SEAWEED,SPIRULINA,RAW",26,5.92,2.42,0.39,0.0,0.0,98
11667,SEAWEED,"SEAWEED,SPIRULINA,DRIED",290,57.47,23.9,7.72,3.599999905,3.099999905,1048
11669,SEAWEED,"SEAWEED,WAKAME,RAW",45,3.03,9.14,0.64,0.5,0.649999976,872
11670,PEPPERS,"PEPPERS,HOT CHILI,GRN,RAW",40,2.0,9.46,0.2,1.5,5.099999905,7
11671,POTATOES,"POTATOES,O'BRIEN,HOME-PREPARED",81,2.35,15.47,1.28,0.0,0.0,217
11672,No Category,POTATO PANCAKES,269,6.06,27.9,14.75,3.200000048,1.799999952,764
11674,POTATO,"POTATO,BKD,FLESH & SKN,WO/ SALT",93,2.5,21.15,0.13,2.200000048,1.179999948,10
11675,POTATOES,"POTATOES,MICROWAVED,CKD IN SKN,FLESH&SKN,WO/SALT",105,2.44,24.24,0.1,2.299999952,0.0,8
11676,RADISH SEEDS,"RADISH SEEDS,SPROUTED,RAW",43,3.81,3.6,2.53,0.0,0.0,6
11677,SHALLOTS,"SHALLOTS,RAW",72,2.5,16.8,0.1,0.0,0.0,12
11683,CARROT,"CARROT,DEHYDRATED",341,8.1,79.57,1.49,23.60000038,38.81999969,275
11693,TOMATOES,"TOMATOES,CRUSHED,CANNED",32,1.64,7.29,0.28,1.899999976,0.0,132
11695,TOMATOES,"TOMATOES,ORANGE,RAW",16,1.16,3.18,0.19,0.899999976,0.0,42
11696,TOMATOES,"TOMATOES,YELLOW,RAW",15,0.98,2.98,0.26,0.699999988,0.0,23
11697,ARROWROOT,"ARROWROOT,RAW",65,4.24,13.39,0.2,1.299999952,0.0,26
11698,CHRYSANTHEMUM LEAVES,"CHRYSANTHEMUM LEAVES,RAW",24,3.36,3.01,0.56,3.0,0.0,118
11700,AMARANTH LEAVES,"AMARANTH LEAVES,CKD,BLD,DRND,W/SALT",21,2.11,4.11,0.18,0.0,0.0,257
11701,ARROWHEAD,"ARROWHEAD,CKD,BLD,DRND,W/SALT",78,4.49,16.14,0.1,0.0,0.0,254
